sample_id,base_site,actual_sst,pred_sst,abs_error
V10_CKI_N_4_1,V10_CKI_N_4,20.46,20.397667,0.0623330688476571
V10_CKI_N_4_2,V10_CKI_N_4,20.46,20.110302,0.349698028564454
V10_CKI_N_4_3,V10_CKI_N_4,20.46,20.41861,0.04139038085937585
V10_CKI_N_4_4,V10_CKI_N_4,20.46,20.635498,0.17549804687499915
V10_CKI_N_4_5,V10_CKI_N_4,20.46,20.149918,0.31008239746093835
V10_CKI_N_5_1,V10_CKI_N_5,21.21,21.30269,0.09269050598144446
V10_CKI_N_5_2,V10_CKI_N_5,21.21,21.531359,0.32135871887206946
V10_CKI_N_5_3,V10_CKI_N_5,21.21,22.148634,0.9386339569091788
V10_CKI_N_5_4,V10_CKI_N_5,21.21,22.765926,1.5559263610839835
V10_CKI_N_5_5,V10_CKI_N_5,21.21,20.894608,0.31539245605468835
V10_CKI_N_H_2_3_1,V10_CKI_N_H_2_3,19.52,20.63079,1.1107907104492192
V10_CKI_N_H_2_3_2,V10_CKI_N_H_2_3,19.52,20.26853,0.7485298919677739
V10_CKI_N_H_2_3_3,V10_CKI_N_H_2_3,19.52,20.192282,0.6722817230224614
V10_CKI_N_H_5_12_1,V10_CKI_N_H_5_12,23.789999,22.014433,1.7755660928955095
V10_CKI_N_H_5_12_2,V10_CKI_N_H_5_12,23.789999,23.666456,0.12354277746582198
V10_CKI_N_H_5_12_3,V10_CKI_N_H_5_12,23.789999,22.309774,1.4802246011962907
V10_CKI_U_2_1,V10_CKI_U_2,20.02,20.619589,0.5995888519287114
V10_CKI_U_2_2,V10_CKI_U_2,20.02,20.371717,0.3517174530029301
V10_CKI_U_2_3,V10_CKI_U_2,20.02,21.56163,1.541630249023438
V10_CKI_U_2_4,V10_CKI_U_2,20.02,21.10135,1.0813507843017582
V10_CKI_U_2_5,V10_CKI_U_2,20.02,20.941277,0.9212765502929692
V10_CKI_U_8_1,V10_CKI_U_8,22.35,21.379463,0.9705368041992202
V10_CKI_U_8_2,V10_CKI_U_8,22.35,22.128311,0.22168884277343892
V10_CKI_U_8_3,V10_CKI_U_8,22.35,20.788607,1.5613933563232436
V10_CKI_U_8_4,V10_CKI_U_8,22.35,20.504164,1.8458362579345717
V10_CKI_U_8_5,V10_CKI_U_8,22.35,20.591585,1.7584148406982436
