site_id,base_site,collection_device,actual_lat,actual_lon,pred_lat,pred_lon,lat_error,lon_error
V10_CKI_N_4_1,V10_CKI_N_4,manual niskin,-26.2433,108.4332167,-26.125107,108.18664,0.1181931884765639,0.24657882158203392
V10_CKI_N_4_2,V10_CKI_N_4,manual niskin,-26.2433,108.4332167,-26.687864,108.90801,0.4445643035888658,0.4747956901367161
V10_CKI_N_4_3,V10_CKI_N_4,manual niskin,-26.2433,108.4332167,-25.91925,107.729935,0.3240495117187514,0.7032820076171902
V10_CKI_N_4_4,V10_CKI_N_4,manual niskin,-26.2433,108.4332167,-25.653688,107.80337,0.5896115692138686,0.6298490852539089
V10_CKI_N_4_5,V10_CKI_N_4,manual niskin,-26.2433,108.4332167,-25.019415,107.5295,1.223885098266603,0.9037138313476589
V10_CKI_N_5_1,V10_CKI_N_5,manual niskin,-24.89073333,106.7784333,-25.597849,108.562546,0.7071155622119143,1.7841124763671843
V10_CKI_N_5_2,V10_CKI_N_5,manual niskin,-24.89073333,106.7784333,-25.024439,107.47304,0.1337055280322268,0.6946044197265593
V10_CKI_N_5_3,V10_CKI_N_5,manual niskin,-24.89073333,106.7784333,-24.441145,106.476555,0.4495883867626951,0.30187842939453446
V10_CKI_N_5_4,V10_CKI_N_5,manual niskin,-24.89073333,106.7784333,-23.698498,106.05177,1.192235557783203,0.7266602287109407
V10_CKI_N_5_5,V10_CKI_N_5,manual niskin,-24.89073333,106.7784333,-24.932375,107.63002,0.041641624223633045,0.8515868416015593
V10_CKI_N_H_2_3_1,V10_CKI_N_H_2_3,manual niskin,-26.8176,109.1271,-26.05742,108.97525,0.7601792694091785,0.15184975585937366
V10_CKI_N_H_2_3_2,V10_CKI_N_H_2_3,manual niskin,-26.8176,109.1271,-26.87009,108.594215,0.05249048461914185,0.5328846069335924
V10_CKI_N_H_2_3_3,V10_CKI_N_H_2_3,manual niskin,-26.8176,109.1271,-25.480719,107.29293,1.3368813873291003,1.834169396972655
V10_CKI_N_H_5_12_1,V10_CKI_N_H_5_12,manual niskin,-19.23755,100.0747167,-22.56486,104.29827,3.3273093902587902,4.2235544791992226
V10_CKI_N_H_5_12_2,V10_CKI_N_H_5_12,manual niskin,-19.23755,100.0747167,-17.944918,98.53008,1.292632321166991,1.5446339973632774
V10_CKI_N_H_5_12_3,V10_CKI_N_H_5_12,manual niskin,-19.23755,100.0747167,-21.215124,102.272995,1.9775741302490246,2.1982782951171913
V10_CKI_U_2_1,V10_CKI_U_2,underway in-line,-27.41276667,109.8690333,-25.68856,107.03613,1.7242061841601561,2.832900487499998
V10_CKI_U_2_2,V10_CKI_U_2,underway in-line,-27.41276667,109.8690333,-26.462854,108.40032,0.9499122846240233,1.4687113395507794
V10_CKI_U_2_3,V10_CKI_U_2,underway in-line,-27.41276667,109.8690333,-26.280853,108.18144,1.131913398515625,1.6875910392578106
V10_CKI_U_2_4,V10_CKI_U_2,underway in-line,-27.41276667,109.8690333,-26.79345,109.23365,0.6193172681445311,0.6353830924804669
V10_CKI_U_2_5,V10_CKI_U_2,underway in-line,-27.41276667,109.8690333,-24.83068,106.93059,2.582085822832031,2.9384455314453106
V10_CKI_U_8_1,V10_CKI_U_8,underway in-line,-22.32416667,103.7144667,-21.117342,103.46776,1.2068246747607425,0.24670852128906517
V10_CKI_U_8_2,V10_CKI_U_8,underway in-line,-22.32416667,103.7144667,-24.011887,105.77655,1.6877199266796872,2.0620835929687473
V10_CKI_U_8_3,V10_CKI_U_8,underway in-line,-22.32416667,103.7144667,-25.434025,107.38862,3.1098581407910153,3.6741517692382786
V10_CKI_U_8_4,V10_CKI_U_8,underway in-line,-22.32416667,103.7144667,-25.197723,107.95901,2.8735567186718747,4.244540563183591
V10_CKI_U_8_5,V10_CKI_U_8,underway in-line,-22.32416667,103.7144667,-21.859783,104.14993,0.46438349739257845,0.4354661613281223
